created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2024-04-06 12:00:27+05:30,1256,163,42.0,33.8,49.0,520.0,18.0,21.0,,,,
2024-04-06 12:01:30+05:30,1257,162,37.0,33.8,49.0,637.0,36.0,9.0,,,,
2024-04-06 12:02:32+05:30,1258,173,47.0,33.7,50.0,679.0,42.0,3.0,,,,
2024-04-06 12:03:34+05:30,1259,168,37.0,33.3,51.0,539.0,21.0,0.0,,,,
2024-04-06 12:04:36+05:30,1260,168,37.0,33.3,52.0,697.0,45.0,0.0,,,,
2024-04-06 12:05:37+05:30,1261,170,40.0,33.3,52.0,717.0,48.0,20.0,,,,
2024-04-06 12:06:39+05:30,1262,171,40.0,33.3,53.0,730.0,50.0,4.0,,,,
2024-04-06 12:07:40+05:30,1263,171,42.0,33.3,53.0,570.0,25.0,6.0,,,,
2024-04-06 12:08:42+05:30,1264,167,38.0,33.3,53.0,692.0,44.0,3.0,,,,
2024-04-06 12:09:44+05:30,1265,172,40.0,33.3,53.0,699.0,45.0,0.0,,,,
2024-04-06 12:10:45+05:30,1266,172,40.0,33.3,53.0,714.0,47.0,4.0,,,,
2024-04-06 12:11:47+05:30,1267,168,39.0,33.3,52.0,615.0,32.0,0.0,,,,
2024-04-06 12:12:48+05:30,1268,168,39.0,33.3,52.0,702.0,46.0,0.0,,,,
2024-04-06 12:13:50+05:30,1269,166,42.0,33.3,52.0,668.0,40.0,4.0,,,,
2024-04-06 12:14:51+05:30,1270,167,39.0,33.3,51.0,612.0,32.0,0.0,,,,
2024-04-06 12:15:53+05:30,1271,167,42.0,33.3,50.0,600.0,30.0,3.0,,,,
2024-04-06 12:16:55+05:30,1272,170,43.0,33.3,50.0,581.0,27.0,5.0,,,,
2024-04-06 12:17:56+05:30,1273,178,44.0,33.3,50.0,546.0,22.0,14.0,,,,
2024-04-06 12:18:58+05:30,1274,163,42.0,33.3,49.0,520.0,18.0,19.0,,,,
2024-04-06 12:20:00+05:30,1275,161,37.0,33.8,45.0,502.0,15.0,0.0,,,,
2024-04-06 12:21:01+05:30,1276,163,44.0,33.8,44.0,501.0,15.0,4.0,,,,
2024-04-06 12:22:03+05:30,1277,156,35.0,33.8,43.0,519.0,18.0,0.0,,,,
2024-04-06 12:23:05+05:30,1278,156,35.0,33.8,42.0,534.0,20.0,0.0,,,,
2024-04-06 12:24:06+05:30,1279,154,38.0,33.8,41.0,501.0,15.0,0.0,,,,
2024-04-06 12:25:08+05:30,1280,150,38.0,34.2,40.0,534.0,20.0,1.0,,,,
2024-04-06 12:26:10+05:30,1281,154,40.0,34.2,39.0,542.0,21.0,0.0,,,,
2024-04-06 12:27:11+05:30,1282,153,42.0,34.2,39.0,551.0,23.0,6.0,,,,
2024-04-06 12:28:13+05:30,1283,151,38.0,34.2,39.0,526.0,19.0,0.0,,,,
2024-04-06 12:29:14+05:30,1284,151,38.0,33.8,40.0,650.0,38.0,0.0,,,,
2024-04-06 12:30:16+05:30,1285,156,40.0,33.8,41.0,679.0,42.0,0.0,,,,
2024-04-06 12:31:18+05:30,1286,149,37.0,33.8,41.0,710.0,47.0,1.0,,,,
2024-04-06 12:32:19+05:30,1287,156,36.0,33.8,42.0,656.0,39.0,0.0,,,,
2024-04-06 12:33:20+05:30,1288,157,43.0,33.8,41.0,704.0,46.0,0.0,,,,
2024-04-06 12:34:22+05:30,1289,154,35.0,33.8,42.0,726.0,49.0,0.0,,,,
2024-04-06 12:35:23+05:30,1290,159,45.0,33.8,43.0,752.0,53.0,7.0,,,,
2024-04-06 12:36:25+05:30,1291,157,38.0,33.4,44.0,591.0,29.0,134.0,,,,
2024-04-06 12:37:27+05:30,1292,158,38.0,33.3,45.0,810.0,62.0,0.0,,,,
2024-04-06 12:38:28+05:30,1293,159,39.0,33.3,45.0,830.0,65.0,0.0,,,,
2024-04-06 12:39:30+05:30,1294,164,40.0,33.3,45.0,817.0,63.0,136.0,,,,
2024-04-06 12:40:31+05:30,1295,163,43.0,33.3,46.0,851.0,68.0,0.0,,,,
2024-04-06 12:41:33+05:30,1296,161,38.0,33.3,46.0,868.0,71.0,0.0,,,,
2024-04-06 12:42:35+05:30,1297,159,38.0,33.3,46.0,857.0,69.0,0.0,,,,
2024-04-06 12:43:36+05:30,1298,162,38.0,33.3,46.0,874.0,72.0,0.0,,,,
2024-04-06 12:44:39+05:30,1299,162,38.0,33.3,47.0,877.0,72.0,0.0,,,,
